id,Label,total_relevance,pageviews
533,Bloc Lytvyn,17,405
534,Nikolay Kostomarov,56,623
535,Fancy Bear,55,9678
536,2014 Winter Paralympics,49,2169
537,Battle of Berlin,45,77251
538,Koliivshchyna,30,834
539,Victoria Nuland,28,25467
540,Volodymyr Antonovych,27,265
541,Serhii Plokhy,25,2171
542,Bakhmut,23,2750
543,Lysychansk,23,1756
544,Chernivtsi University,22,1484
545,Territories of Poland annexed by the Soviet Union,21,4840
546,Mykhailo Drahomanov,20,642
547,Second Yatsenyuk Government,19,573
548,Olena Teliha,18,489
549,Illichivets,17,45
550,Stepan Sosnovy,17,83
551,Oleksiy Ryabchyn,17,86
552,Khmelnytskyi Oblast,17,2792
553,Yuri Kostenko,16,20
554,2019â20 Ukrainian Premier League,16,1150
555,Drohobych,16,2477
556,Oleksandr Omelchenko,16,866
557,Leopolis Jazz Fest,16,228
558,Verkhovna Rada building,16,1252
559,Volodymyr Lytvyn,16,863
560,Ministry of Internal Affairs of Ukraine,16,2573
561,Adam Martyniuk,16,83
562,Seven Wonders of Ukraine,16,2497
563,Russian federation,390,839604
564,RussiaâUnited Kingdom relations,230,9215
565,Russian speakers,208,128
566,Federal Security Service,85,48765
567,Operation Bagration,61,33533
568,Sea of Azov,55,28776
569,Russo-Polish War (1654â1667),44,5233
570,Deportation of the Crimean Tatars,43,10444
571,Roshen,29,7325
572,Kherson,27,9811
573,Halychyna,25,44703
574,PolishâSoviet border agreement of August 1945,22,828
575,Blue Army (Poland),22,2205
576,Podolia,22,6150
577,Uman,20,4526
578,Stanislav Kosior,20,1232
579,Chernihiv Oblast,19,3729
580,Donbass Arena,18,7498
581,Jon Krakauer,17,37670
582,Ossolineum,17,750
583,Roman Zvarych,16,158
584,Prime Minister of Ukraine,16,10281
585,Lina Kostenko,15,775
586,Petrykivka painting,15,885
587,Front of Changes,15,409
588,List of rivers of Ukraine,15,601
589,For Ukraine!,15,170
590,Serhiy Vlasenko,15,125
591,RussiaâTurkey relations,114,7874
592,Aleksandr Solzhenitsyn,105,63774
593,Treaty of Brest-Litovsk,77,30395
594,Polish Jews,60,24175
595,Eastern Orthodox Culture,54,139343
596,Vysoky Zamok (newspaper),26,212
597,Nabat,25,937
598,Hlukhiv,24,1152
599,Sloviansk,24,3147
600,Lutsk,24,5158
602,Siret,20,1257
603,Crimea Platform,20,1927
604,Petro Konashevych-Sahaidachny,20,1750
605,Igor Sikorsky Kyiv Polytechnic Institute,18,2214
606,Lyudmyla Denisova,18,308
607,Kharkiv Oblast,18,9406
608,Holocaust,18,399039
609,Early Slavs,17,20342
610,1991 Ukrainian independence referendum,17,7158
611,Eneida,16,671
612,Saint Sophia Cathedral in Kiev,16,492
613,Oles Honchar,16,419
614,Holodomor Memorial Day,14,694
615,Lviv bid for the 2022 Winter Olympics,14,415
616,Kirovohrad Oblast,14,2924
617,Red Data Book of Ukraine,14,225
618,The Ukrainian Week,14,499
619,Andriy Shkil,14,261
620,Ukrainian wreath,14,1164
621,"History of Germans in Russia, Ukraine and the Soviet Union",182,10075
622,Mikhail Gorbachev,100,232385
623,Doukhobors,69,7605
624,Roman Abramovich,68,105121
625,Lithuania,64,240017
626,Tupolev Tu-160,62,59025
627,Droughts and famines in Russia and the Soviet Union,38,5456
628,Molotschna,32,1682
629,Oleksandr Usyk,28,112500
630,Viktor OrbÃ¡n,26,58339
631,Oliver Stone,25,143265
632,An-225,24,74793
633,Seversky Donets,23,3453
634,Volodymyr-Volynskyi,23,733
635,Debaltseve,22,2422
636,Aleksandr Zakharchenko,22,14648
637,Vasyl Lomachenko,22,2024
638,Excess mortality in the Soviet Union under Joseph Stalin,21,24625
639,Khan Ukraine,18,55
640,Danube Delta,18,9759
641,Mykola Khvylovy,16,459
642,Hetman of Ukraine,16,1643
643,Horilka,16,3717
644,Mykolaiv Oblast,16,2998
645,Alchevsk,16,1176
646,State Border Guard Service of Ukraine,16,2817
647,Serhiy Sobolyev,15,155
648,Serhiy Taruta,15,1333
649,Mendel Khatayevich,15,355
650,German occupation of Czechoslovakia,15,44323
651,Oleksandr Yefremov,15,641
652,Valerian Pidmohylny,14,283
653,Bulawa,14,1374
654,FC Chornomorets Odessa,14,310
655,Lviv National Museum,14,302
656,First Secretary of the Communist Party of Ukraine,14,770
657,People's Democratic Party (Ukraine),14,582
658,2014 Ukrainian local elections,14,338
659,People's Party (Ukraine),13,629
660,Arena Lviv,13,1764
661,James Mace,13,326
662,FC Lviv,13,3429
663,Yevhen Nyshchuk,13,114
664,Volodymyr Vasylyovych Rybak,13,640
665,United Ukraine,13,83
666,Labor Ukraine,13,644
667,Constitution Day (Ukraine),13,329
668,2016 United States election interference by Russia,451,660
669,Human rights in Russia,229,6232
670,Media freedom in Russia,170,4606
671,Vladislav Surkov,80,9741
672,Viktor Chernomyrdin,53,6136
673,Pro-Russian,43,11404
674,Black Sea Germans,39,6652
675,Matteo Renzi,33,17397
676,Simferopol,31,16460
677,Curzon Line,31,6476
678,Green Ukraine,27,5952
679,Colour revolution,25,47551
680,PrzemyÅl,20,6953
681,Scythians,20,67824
682,Odessa Oblast,20,10674
683,Ivan Sirko,17,2427
684,Interfront of the Donbass,17,553
685,Yurii Khmelnytsky,17,681
686,Kharkiv University,17,355
687,Raphael Lemkin,17,5952
688,Einsatzgruppen,16,49023
689,Baptists,16,48495
690,Kharkiv Polytechnical Institute,14,150
691,Eastern Galicia,14,2179
692,Mykola Martynenko,14,151
693,Volodymyr Sabodan,14,340
694,Rivne Oblast,14,2468
695,Dnieper Ukraine,14,1324
696,Valeriya Lutkovska,14,156
697,BC Budivelnyk,13,1873
698,Makariy (Maletych),13,168
699,Cemetery of the Defenders of LwÃ³w,13,371
700,Supreme Soviet of the Ukrainian SSR,13,269
701,Party of Greens of Ukraine,12,707
702,2002 Ukrainian parliamentary election,12,1887
703,Eduard Stavitskyi,12,16
704,"Armenian Cathedral, Lviv",12,109
705,Hromada,12,2114
706,Ivan Kyrylenko,12,100
707,Ioan PotcoavÄ,12,222
708,Party of Labor (Ukraine),12,231
709,Russia under Vladimir Putin,394,15394
710,Sino-Russian relations,232,2200
711,Putinisms,62,10766
712,Disinformation,57,15726
713,Soviet Armed Forces,41,17425
714,History of the Soviet Union (1927â53),40,1438
715,Treaty on the Creation of the Union of Soviet Socialist Republics,39,7968
716,NATO,36,828642
717,Kazimir Malevich,36,17037
718,Rurik dynasty,33,33174
719,Crimean Tatar language,32,13408
720,East Slavic languages,29,9840
721,Collectivization in the Soviet Union,27,16509
722,Guberniya,26,1750
723,Leonid Brezhnev,25,127554
724,Treaty of Hadiach,25,849
725,Vladimir I of Kiev,23,32181
726,Russo-Turkish War (1676â1681),23,1867
727,Chelm,22,4578
728,Vladimir Vernadsky,22,3589
729,Fastiv,22,796
730,Population transfer in the Soviet Union,21,12654
731,GUAM Organization for Democracy and Economic Development,20,11287
732,Crimean People's Republic,19,2175
733,Left-bank Ukraine,19,2715
734,Anders Ãslund,17,1471
735,Yuzhmash,17,6863
736,Gentry,17,17736
737,Pereyaslav,17,2739
738,Berdychiv,17,3644
739,Polish language,17,65300
740,Crimean Oblast,16,3831
741,Eparchy of Kyiv (Orthodox Church of Ukraine),16,56
742,Constitution of Pylyp Orlyk,16,1419
743,HungaryâPoland relations,15,2650
744,Kramatorsk,15,4743
745,Gun politics,15,1321
746,Korrespondent,14,838
747,Bila Tserkva,14,3374
748,Torban,14,697
749,Treblinka extermination camp,13,48746
750,Plan on Priority Measures for European Integration of Ukraine,12,184
751,KrAZ,12,6386
752,"Sociological group ""RATING""",12,522
753,Bieszczady Mountains,11,2066
754,Olena Bondarenko (Party of Regions politician),11,241
755,Ukrainian cuisine,11,8037
756,2014 Kyiv local election,11,407
757,Ruslan Ponomariov,11,2643
758,LwÃ³w Ghetto,11,2224
759,Saints Peter and Paul Garrison Church (Lviv),11,399
760,Finance and Credit (bank),11,179
761,Vassily Ivanchuk,11,2822
762,GRU,97,33350
763,Transnistria War,51,20208
764,Danubian Sich,49,2019
765,European integration,35,12962
766,Zaporizhian Sich,34,8939
767,Eurovision Song Contest,29,77491
768,Russian Unity,27,1227
769,History of the Jews in the Soviet Union,27,4427
770,Capture of the Crimean Parliament,26,3143
771,Melitopol,24,2643
772,Slavs,23,105730
773,Slav,23,1288
774,Oath of office,22,10091
775,Bilhorod,22,102
776,Second World War,20,917286
777,Zaporizhia (region),19,1560
778,Agriculture in the Soviet Union,18,3722
779,Joseph Biden,17,789
780,Joe Biden,17,731355
781,2022 State of the Union Address,17,21923
782,"Pervomaisk, Luhansk Oblast",17,448
783,Christianisation of Kievan Rus',16,9633
784,Mustafa Dzhemilev,16,2525
785,Myrhorod,16,760
786,Romanian language,16,55578
