Label,total_relevance,20180401-20180501,20180501-20180601,20190901-20191001,20191001-20191101,20220101-20220201,20220201-20220301,id
Franco-Prussian War,171,71834,72375,62288,68457,82643,77784,Franco-Prussian War
Media freedom in Russia,170,5200,4189,4699,5504,4606,15967,Media freedom in Russia
Russian Jewish,169,1647,1512,2308,1834,1400,1456,Russian Jewish
Circassian genocide,168,6558,15116,7526,7525,21749,29189,Circassian genocide
First Chechen War,167,25076,25495,25703,24831,53022,196833,First Chechen War
Iran-Russia relations,166,6961,8838,8040,5512,5069,9818,Iran-Russia relations
Abkhazia,166,57441,62259,59441,60383,87015,222991,Abkhazia
LwÃ³w,165,36319,40469,37872,36363,54726,304682,LwÃ³w
Nicholas II of Russia,165,174201,183019,213608,234687,272359,525874,Nicholas II of Russia
Metropolitanate of Kyiv,164,0,0,0,0,598,1458,Metropolitanate of Kyiv
Crimean Peninsula,164,97290,124236,98967,102795,378224,1490297,Crimean Peninsula
2022 anti-war protests in Russia,164,0,0,0,0,0,147509,2022 anti-war protests in Russia
Russians,163,30001,29940,30438,36034,60802,139440,Russians
Great Russians,163,56,119,247,255,522,1796,Great Russians
Organisation of Ukrainian Nationalists,162,4503,4576,5339,4843,14179,59881,Organisation of Ukrainian Nationalists
Ukrainian Insurgent Army,162,9958,10571,11839,12496,27411,139333,Ukrainian Insurgent Army
Russian Orthodox Church,161,42053,39619,35336,39499,53671,127926,Russian Orthodox Church
Moscow,161,142922,143086,139050,136165,182975,357447,Moscow
Bukovina,159,11059,10791,11024,12171,16137,30517,Bukovina
Viktor Yuschenko,157,48703,15142,17846,17783,41797,350807,Viktor Yuschenko
History of Poland,157,18182,18506,17680,18615,18816,28714,History of Poland
Kyiv,156,86396,158719,84096,91067,196701,1459350,Kyiv
1877â1878 Russo-Turkish War,156,21971,19789,16750,22249,35954,30644,1877â1878 Russo-Turkish War
Russo-Turkish War (1877-1878),156,364,363,353,385,639,650,Russo-Turkish War (1877-1878)
Ukrainian diaspora,155,3021,3257,3821,3413,7855,40865,Ukrainian diaspora
Orthodox Church of Ukraine,155,6,11,5943,9804,12144,40103,Orthodox Church of Ukraine
West Ukrainian National Republic,154,4894,4611,4764,4489,13208,50185,West Ukrainian National Republic
Imperial Russian Navy,154,5264,12032,5406,16248,7321,10371,Imperial Russian Navy
World War I,153,752377,712874,649172,694793,680662,1028957,World War I
Great War,153,1412,1380,1906,2117,1473,1725,Great War
Russian Navy,153,41622,30646,27402,29775,69866,109525,Russian Navy
Soviet,152,433483,405049,424066,414162,607631,2249002,Soviet
2018 MoscowâConstantinople schism,151,0,0,7731,9639,8215,12812,2018 MoscowâConstantinople schism
Politics of Russia,151,17781,16866,19581,20846,20695,116431,Politics of Russia
Demographics of Ukraine,149,9983,11082,10574,11514,49793,242965,Demographics of Ukraine
RussiaâSerbia relations,149,5014,4343,4414,4872,7947,18351,RussiaâSerbia relations
Religion in Ukraine,148,6046,6567,5311,5893,23262,406118,Religion in Ukraine
Ukrainian nobility of Galicia,146,575,511,418,460,585,1188,Ukrainian nobility of Galicia
Kharkov,145,24204,26015,30369,27785,55376,426908,Kharkov
Svoboda (political party),144,5934,5650,6037,5665,15437,83986,Svoboda (political party)
Revolutionary Insurgent Army of Ukraine,144,0,0,0,0,615,13062,Revolutionary Insurgent Army of Ukraine
Luhansk People's Republic,144,13118,15365,14757,15026,74342,766991,Luhansk People's Republic
Eurasian Economic Union,144,32929,44345,25390,33695,33268,57999,Eurasian Economic Union
IndiaâRussia relations,144,15081,14721,25300,16546,21913,114411,IndiaâRussia relations
India?Russia relations,144,15081,14721,25300,16546,21913,114411,India?Russia relations
National Television and Radio Broadcasting Council of Ukraine,143,0,0,0,0,0,0,National Television and Radio Broadcasting Council of Ukraine
Russian Soviet Republic,143,65388,57897,61599,68136,99406,238252,Russian Soviet Republic
Dmitry Medvedev,143,87714,75079,79830,76234,129527,798065,Dmitry Medvedev
Russian economy,142,56475,49661,39120,43271,73389,235148,Russian economy
Stepan Bandera,141,10065,11369,12598,12876,44229,213929,Stepan Bandera
Greater Poland Uprising (1848),141,851,814,982,932,607,648,Greater Poland Uprising (1848)
Ukrainian Greek Catholic Church,140,10018,8539,9538,9068,15039,44976,Ukrainian Greek Catholic Church
Legislation on languages in Ukraine,139,415,414,409,439,598,1734,Legislation on languages in Ukraine
Ukrainian War of Independence,137,4134,4223,4040,4261,11294,59715,Ukrainian War of Independence
Freedom of the press in Ukraine,137,533,709,939,894,1047,6327,Freedom of the press in Ukraine
PolishâMuscovite War (1605â1618),137,705,675,4108,4542,6621,11167,PolishâMuscovite War (1605â1618)
Igor Girkin,135,1703,2576,1494,1356,8402,32316,Igor Girkin
Tsardom of Moscow,134,25288,25986,25021,27974,53450,113237,Tsardom of Moscow
Beslan school hostage crisis,134,6230,6023,9551,6144,6173,18015,Beslan school hostage crisis
Criminal cases against Yulia Tymoshenko since 2010,133,695,488,1637,1862,1604,12069,Criminal cases against Yulia Tymoshenko since 2010
Nicholas I of Russia,133,36137,37825,42127,104388,76145,89302,Nicholas I of Russia
Napoleonic Wars,133,92603,94973,89748,99877,113368,112022,Napoleonic Wars
Leningrad,132,139687,148635,145218,144848,184532,345974,Leningrad
Political status of Crimea,131,21832,10587,8475,11088,17283,48728,Political status of Crimea
Minsk agreements,129,8669,9324,8643,12670,69468,909735,Minsk agreements
President of Ukraine,128,8671,7969,73029,34023,51163,1008925,President of Ukraine
White Ã©migrÃ©,126,8018,7172,7652,8045,15245,18125,White Ã©migrÃ©
Imperial Russian Army,126,8976,8732,9324,10877,13555,17497,Imperial Russian Army
Nestor Makhno,125,13191,14013,13595,15193,23127,42868,Nestor Makhno
Cossack Hetmanate,125,8437,7848,8764,9726,24687,114298,Cossack Hetmanate
History of the Russo-Turkish wars,125,8769,9072,7152,14557,17699,25396,History of the Russo-Turkish wars
History of the Jews in Ukraine,124,6031,6096,8587,8941,13855,94577,History of the Jews in Ukraine
Nadiya Savchenko,124,4158,3431,3489,2486,3931,14156,Nadiya Savchenko
Visa policy of Russia,123,19963,18501,21866,21916,7364,9410,Visa policy of Russia
Russo-Persian Wars,123,4524,5031,3663,3822,5490,6724,Russo-Persian Wars
Russian Armed Forces,122,55840,37547,34409,41335,155614,996356,Russian Armed Forces
Russian Enlightenment,122,2658,3593,2605,4235,3594,3318,Russian Enlightenment
Belarus,120,174709,188945,176096,184316,302197,1398254,Belarus
Party of Regions,119,4078,4174,4870,4017,15497,65403,Party of Regions
UkrainianâSoviet War,119,2844,2767,2798,2762,18229,87572,UkrainianâSoviet War
Soviet?Ukrainian War,119,0,0,0,0,11317,58807,Soviet?Ukrainian War
Odesa,118,46105,46549,50800,43390,70005,300529,Odesa
Transnistria,118,62382,64156,67847,68307,158167,653357,Transnistria
Boris Berezovsky (businessman),118,21202,18531,17647,15657,17974,62297,Boris Berezovsky (businessman)
Boris Yeltsin,118,98224,86029,78058,84385,130553,683461,Boris Yeltsin
First Russian circumnavigation,118,602,681,558,647,1445,1336,First Russian circumnavigation
Dmitry Merezhkovsky,118,1573,1349,1559,1446,1892,1907,Dmitry Merezhkovsky
Dnipropetrovsk,117,15002,16998,16218,17382,28248,102355,Dnipropetrovsk
War in Abkhazia (1992â1993),117,4206,4012,4617,4398,7228,15290,War in Abkhazia (1992â1993)
Russian conquest of Central Asia,117,2400,2286,2603,3480,8148,7642,Russian conquest of Central Asia
Byelorussian SSR,116,13741,13834,12707,12151,25730,69360,Byelorussian SSR
Belarusian Soviet Socialist Republic,116,158,295,160,157,190,361,Belarusian Soviet Socialist Republic
Ukrainian nationalists,115,2117,2366,2623,2656,6658,32513,Ukrainian nationalists
Arseniy Yatsenyuk,115,4573,4375,4566,4476,12259,62923,Arseniy Yatsenyuk
Mass media in Russia,115,0,0,0,0,7295,35901,Mass media in Russia
Security Service of Ukraine,114,3964,6169,4633,5338,8366,31683,Security Service of Ukraine
RussiaâTurkey relations,114,6208,4143,3818,15848,7874,21963,RussiaâTurkey relations
International Space Station,114,162143,138626,229171,181125,140473,194510,International Space Station
Symon Petliura,113,3554,5003,3407,3492,7766,18058,Symon Petliura
Enlargement of NATO,113,14983,13702,11469,16216,91648,369179,Enlargement of NATO
Reactions to the 2022 Russian invasion of Ukraine,113,0,0,0,0,0,424,Reactions to the 2022 Russian invasion of Ukraine
Nord Stream,113,12914,13714,10400,13041,124178,513229,Nord Stream
Russian Civil War,112,67031,62363,54158,61348,89807,129089,Russian Civil War
2010 Ukrainian presidential election,111,235,99,3548,3502,14908,89513,2010 Ukrainian presidential election
Prussian Reform Movement,111,0,0,1020,1237,1456,1414,Prussian Reform Movement
Stalin,110,580354,459873,342848,362755,437628,784226,Stalin
Russian Ground Forces,110,23963,20539,16200,19616,62141,183571,Russian Ground Forces
Paul von Hindenburg,110,68868,60915,89762,61691,80155,83798,Paul von Hindenburg
Kuban Cossacks,109,5850,4839,4186,4199,6488,11522,Kuban Cossacks
History of Lviv,108,1528,1418,1850,1948,2816,12880,History of Lviv
Communist Party of Ukraine,108,3040,3040,3058,3257,9503,37499,Communist Party of Ukraine
Great Northern War,108,27085,29540,26141,30970,42628,51736,Great Northern War
Russian literature,108,11802,12192,10370,10894,13397,13823,Russian literature
Carpathian Ruthenia,107,9086,9402,8656,9222,15896,27851,Carpathian Ruthenia
2011â2013 Russian protests,107,2488,3966,3478,2517,4094,11499,2011â2013 Russian protests
Russian Orthodox Church Outside Russia,107,4264,4029,4939,4800,3181,3761,Russian Orthodox Church Outside Russia
Ukrainian Army,106,625,610,813,723,926,3085,Ukrainian Army
Western Ukraine,106,3147,2993,3716,3466,8649,46913,Western Ukraine
Ukrainian People's Republic,106,9218,9644,9164,9615,45502,194608,Ukrainian People's Republic
Boris Nemtsov,106,10131,9726,6709,8682,12570,122195,Boris Nemtsov
Russian financial crisis (2014â2016),106,1933,1584,783,1153,8277,39818,Russian financial crisis (2014â2016)
Zakarpattia Oblast,105,7030,9070,6730,7508,14674,40159,Zakarpattia Oblast
Aleksandr Solzhenitsyn,105,51480,50002,40511,43098,63774,67775,Aleksandr Solzhenitsyn
Russian Revolution,105,112175,110739,98757,104186,107477,158085,Russian Revolution
2 May 2014 Odessa clashes,104,265,289,1673,270,462,1965,2 May 2014 Odessa clashes
South Ossetia,104,37976,37633,39010,38418,68253,248231,South Ossetia
Chechnya,104,100612,106788,98807,90078,160189,1019524,Chechnya
Partitions of Poland,103,21369,22601,17638,20696,26285,39680,Partitions of Poland
Soviet famine of 1932?33,102,16088,15076,12602,13809,5407,12961,Soviet famine of 1932?33
Soviet famine of 1932â33,102,17802,16782,13959,15248,31173,55546,Soviet famine of 1932â33
Livonian War,102,5352,5657,6239,7109,9449,10128,Livonian War
Political abuse of psychiatry in the Soviet Union,101,6300,5459,6360,5719,5486,5918,Political abuse of psychiatry in the Soviet Union
2022 Russian financial crisis,101,0,0,0,0,0,18859,2022 Russian financial crisis
Ramzan Kadyrov,101,38413,35435,51987,35777,63930,559718,Ramzan Kadyrov
Moscow theater hostage crisis,101,26550,22913,34466,37560,33391,63043,Moscow theater hostage crisis
Finnish War,101,6855,7022,7450,7299,11400,16896,Finnish War
KÃ¶nigsberg,101,33430,31320,28174,29299,43350,65851,KÃ¶nigsberg
Grand Duchy of Finland,101,10499,11058,11465,11658,17724,27555,Grand Duchy of Finland
Naftogaz,100,1306,1220,1547,3894,2888,6837,Naftogaz
Ukrainian Orthodox Church (Moscow Patriarchate),100,3735,2965,3543,3584,5384,17679,Ukrainian Orthodox Church (Moscow Patriarchate)
Mariupol,100,6480,7120,5842,5707,20956,187309,Mariupol
Mikhail Gorbachev,100,203425,198483,161184,185198,232385,754906,Mikhail Gorbachev
Mikhail Khodorkovsky,100,23176,16407,14721,14559,19963,101917,Mikhail Khodorkovsky
Little Russia,99,3151,3166,3019,3255,9457,30359,Little Russia
Army of the South-East,99,220,260,246,288,25546,124319,Army of the South-East
Sergey Lavrov,99,28289,14196,11521,15285,84154,265383,Sergey Lavrov
Russian nationality law,99,247,297,229,245,5069,7713,Russian nationality law
Law of Ukraine,98,1218,1313,1240,1911,1014,1881,Law of Ukraine
Rinat Akhmetov,98,7008,7408,9926,9111,24225,116022,Rinat Akhmetov
Sevastopol,98,30876,34520,28178,43440,87754,275759,Sevastopol
International sanctions during the 2022 Russian invasion of Ukraine,98,0,0,0,0,0,0,International sanctions during the 2022 Russian invasion of Ukraine
Caucasus Greeks,98,3472,3318,2700,2916,3405,4843,Caucasus Greeks
Free Territory,97,8196,8898,10777,12111,6462,15436,Free Territory
GRU,97,8106,5181,5173,5455,33350,51565,GRU
2010 Polish Air Force Tu-154 crash,97,24895,16800,5444,6289,3230,4257,2010 Polish Air Force Tu-154 crash
Revolution of 1905,97,7406,6874,5941,6867,6682,8423,Revolution of 1905
Ruslana,96,4575,11238,3287,3521,5522,16235,Ruslana
Culture of Ukraine,96,4616,4543,3925,4542,4903,17279,Culture of Ukraine
Yekaterinburg,96,44106,45986,38566,36743,46270,61766,Yekaterinburg
Corruption in Ukraine,95,2027,2293,5059,6995,7705,84805,Corruption in Ukraine
Ukrainian anthem,95,17,18,26,23,130,468,Ukrainian anthem
Alexander Litvinenko,95,37030,18162,26639,21986,33164,78988,Alexander Litvinenko
LGBT rights in the Soviet Union,95,71,60,152,127,182,198,LGBT rights in the Soviet Union
Kursk submarine disaster,95,20911,19765,46214,125142,58720,128223,Kursk submarine disaster
Verkhovna Rada,94,9967,9916,19244,15096,33715,168128,Verkhovna Rada
Ukrainian citizenship,94,546,552,782,677,843,3123,Ukrainian citizenship
Kazakhstan,94,220284,215239,251134,253026,1112964,409629,Kazakhstan
Old Believers,94,18047,15687,18035,21124,23261,26832,Old Believers
Holodomor in modern politics,93,590,687,537,955,1880,4004,Holodomor in modern politics
Former Soviet Republics,93,37268,37195,26028,29722,84229,492308,Former Soviet Republics
Georgia (country),93,238716,264116,279345,267778,297166,747835,Georgia (country)
KoÅciuszko Uprising,93,3680,3860,4141,4461,5385,5916,KoÅciuszko Uprising
Kosciuszko Uprising,93,41,45,53,46,37,44,Kosciuszko Uprising
Battle of Grozny (1994?95),93,7763,6782,8017,8499,6800,20177,Battle of Grozny (1994?95)
Unification council of the Eastern Orthodox churches of Ukraine,92,0,0,0,0,527,928,Unification council of the Eastern Orthodox churches of Ukraine
Ukrainian Premier League,92,12889,20364,14282,11438,15665,55485,Ukrainian Premier League
Communist Party (Bolsheviks) of Ukraine,92,1708,1779,1595,1646,3139,10644,Communist Party (Bolsheviks) of Ukraine
Peter I of Russia,92,78472,87494,79970,126390,158134,178411,Peter I of Russia
Kaliningrad Oblast,92,30647,30122,29573,27017,76651,225366,Kaliningrad Oblast
Protestants in Ukraine,91,122,145,88,120,138,309,Protestants in Ukraine
Oleksandr Turchynov,91,6488,6085,6081,5717,29285,267546,Oleksandr Turchynov
Mikheil Saakashvili,91,15913,12705,11099,12149,21362,72932,Mikheil Saakashvili
Autonomous Republic of Crimea,91,11925,13520,9296,9886,32028,125363,Autonomous Republic of Crimea
Rock music in Russia,91,2339,2204,2554,2835,4050,4086,Rock music in Russia
Kalmyk people,91,11750,12542,11052,11468,19646,20483,Kalmyk people
Russian entry into World War I,91,0,0,7666,9066,11553,21850,Russian entry into World War I
"All-Ukrainian Union ""Fatherland""",90,7105,6485,9747,7727,22643,88836,"All-Ukrainian Union ""Fatherland"""
Russian cuisine,90,26012,26576,15141,16726,16694,20620,Russian cuisine
Censorship in the Russian Federation,90,0,0,231,255,652,871,Censorship in the Russian Federation
Rus (name),90,4775,4524,1828,2092,2208,5254,Rus (name)
Natural gas in Ukraine,89,658,666,1274,2096,4403,25664,Natural gas in Ukraine
Moldova,89,123106,151507,142125,145056,214748,694029,Moldova
Pussy Riot,89,31643,31489,28238,35158,32059,59087,Pussy Riot
Ivan Bunin,89,4532,5166,4256,6083,5416,4993,Ivan Bunin
Christianity in Russia,89,3784,3247,3390,3879,6200,17851,Christianity in Russia
Russian apartment bombings,89,18958,9557,14899,245778,41865,120650,Russian apartment bombings
Polonization,88,2792,2817,3335,2792,4374,7373,Polonization
Garry Kasparov,88,50999,49267,45140,44743,80497,163909,Garry Kasparov
German Empire,88,126912,125124,113020,122636,156972,164576,German Empire
Treaty of Kuchuk-Kainarji,88,2635,3065,2414,3166,4081,5791,Treaty of Kuchuk-Kainarji
Automotive industry in Russia,88,12133,12680,8822,9942,8317,17210,Automotive industry in Russia
Demographics of Russia,87,46562,44539,35922,38443,74957,138290,Demographics of Russia
Islam in Russia,87,17285,16334,19308,16951,24104,75973,Islam in Russia
Nikolai Leskov,87,2218,2763,1875,2152,2937,3002,Nikolai Leskov
Romanov dynasty,87,66798,73464,85404,94838,111807,174143,Romanov dynasty
Old Prussians,87,10430,9896,14334,9479,13978,18342,Old Prussians
Russian philosophy,87,721,730,584,679,1854,2250,Russian philosophy
Donetsk,86,15840,18562,18395,19428,66001,557436,Donetsk
Crimean bridge,86,30,157,108,227,363,1111,Crimean bridge
Battle of Leipzig,86,20784,20439,18348,44661,27794,24579,Battle of Leipzig
Ukrainian Defense Industry (company),85,293,202,197,201,253,575,Ukrainian Defense Industry (company)
Barszcz,85,43160,43990,43154,49600,53309,64753,Barszcz
Federal Security Service,85,45093,34193,33922,38023,48765,122915,Federal Security Service
Russian jokes,85,13430,8754,9056,10745,9960,12394,Russian jokes
Alexander I of Russia,85,35576,36103,42203,146998,83994,84327,Alexander I of Russia
Bohdan Khmelnytskyi,84,6333,7760,5762,6553,9870,24710,Bohdan Khmelnytskyi
On conducting a special military operation,84,0,0,0,0,0,0,On conducting a special military operation
Commonwealth of Independent States,84,75714,71071,61752,71436,119541,235073,Commonwealth of Independent States
Ukrainian Cossacks,84,7962,7672,8237,10802,16032,45956,Ukrainian Cossacks
Bessarabia,84,18203,17937,18109,18707,27321,53830,Bessarabia
Allied intervention in the Russian Civil War,84,19335,17930,16028,18689,20374,26169,Allied intervention in the Russian Civil War
Name of Ukraine,83,5420,4255,7510,8306,20567,128456,Name of Ukraine
Taras Shevchenko,83,7196,7669,7253,8165,10850,41026,Taras Shevchenko
Mykolaiv,83,6095,6184,5944,6288,9977,53240,Mykolaiv
United Russia,83,27891,26281,32131,28954,56585,204290,United Russia
War of the Sixth Coalition,83,21723,14271,13175,19042,17984,30417,War of the Sixth Coalition
Russian America,83,16289,17199,16323,21106,27557,33787,Russian America
Alexander Zinoviev,83,1060,931,1428,1919,1814,2030,Alexander Zinoviev
Sergei Pugachev,83,1192,1103,1377,2026,13831,25448,Sergei Pugachev
History of Poland (1939â1945),82,6226,5966,9931,10259,7287,11777,History of Poland (1939â1945)
Domestic policy of Vladimir Putin,82,984,1084,528,744,1075,2191,Domestic policy of Vladimir Putin
Napoleon I of France,82,363704,381214,320039,352909,438905,389403,Napoleon I of France
2007 Russian legislative election,82,0,0,1839,1822,3240,8352,2007 Russian legislative election
2008 Ukrainian parliamentary election,81,297,294,2779,2312,5808,20528,2008 Ukrainian parliamentary election
Vladislav Surkov,80,11113,6957,6677,8091,9741,33120,Vladislav Surkov
PolishâRussian War of 1792,80,1954,2422,2077,2235,2577,3386,PolishâRussian War of 1792
Internet censorship in Russia,80,8267,5524,4341,7329,4331,16901,Internet censorship in Russia
Dvoryanstvo,80,9231,9354,9621,10816,13493,13682,Dvoryanstvo
Ukrainian Autocephalous Orthodox Church,79,1995,1876,1168,1469,1732,6071,Ukrainian Autocephalous Orthodox Church
2010 UkrainianâRussian Naval Base for Gas treaty,79,221,166,176,160,269,788,2010 UkrainianâRussian Naval Base for Gas treaty
Russia and weapons of mass destruction,79,28441,13750,11572,12336,21518,240773,Russia and weapons of mass destruction
Russian diaspora,79,4737,4500,4456,4904,8893,18778,Russian diaspora
Thirteen Years' War (1454â66),79,2595,2741,2350,1712,1199,1941,Thirteen Years' War (1454â66)
War and Peace,79,81057,78178,76750,78075,85654,79760,War and Peace
Orange Revolution,78,13458,13687,10959,13058,29197,163918,Orange Revolution
Nikita Khrushchev,78,222790,162230,105651,121433,169774,332453,Nikita Khrushchev
Nuclear weapons and Ukraine,78,4206,4536,4591,4710,46370,377247,Nuclear weapons and Ukraine
President of the Russian Federation,78,2543,905,829,983,2064,12073,President of the Russian Federation
